YEAR,MONTH,DAY,ORDER,COUNTRY,LOCATION,PRICE,PAGE
2008,4,30,14,29,1,38,3
2008,4,29,3,29,2,43,1
2008,4,6,6,19,4,33,3
2008,4,26,1,29,6,33,1
2008,4,9,6,9,4,38,1
2008,4,25,10,29,4,38,1
2008,4,21,2,29,2,43,3
2008,4,26,8,29,2,48,1
2008,4,21,6,3,3,28,2
2008,4,26,5,29,1,43,3
2008,4,8,20,29,2,33,2
2008,4,8,37,29,2,57,2
2008,4,12,27,9,1,38,3
2008,4,20,25,29,6,33,4
2008,4,9,5,29,2,33,2
2008,4,29,7,29,6,33,1
2008,4,3,1,29,1,28,1
2008,4,30,1,29,2,28,2
2008,4,24,4,29,5,48,1
2008,4,13,7,29,2,28,4
2008,4,16,9,9,1,38,3
2008,4,21,21,3,5,33,3
2008,4,13,9,29,3,48,2
2008,4,28,3,16,1,43,1
2008,4,2,9,29,4,48,5
2008,4,15,17,29,2,43,3
2008,4,20,26,29,6,33,4
2008,4,4,5,29,3,48,1
2008,4,11,4,9,2,43,1
2008,4,7,16,24,4,43,4
2008,4,13,1,29,5,33,1
2008,4,22,1,9,2,38,1
2008,4,12,45,9,1,38,3
2008,4,26,14,29,3,23,1
2008,4,13,25,29,3,28,5
2008,4,6,11,19,1,33,4
2008,4,1,2,29,1,67,2
2008,4,15,1,29,6,48,1
2008,4,3,22,29,4,38,1
2008,4,6,1,9,2,28,3
2008,4,22,9,29,4,33,1
2008,4,12,10,9,5,38,2
2008,4,4,18,29,1,48,2
2008,4,5,4,9,4,62,1
2008,4,8,5,29,4,38,1
2008,4,25,1,9,2,38,1
2008,4,13,5,29,1,38,3
2008,4,11,7,29,6,33,2
2008,4,2,8,29,1,38,3
2008,4,11,1,9,3,43,1
2008,4,29,7,29,3,43,1
2008,4,15,5,29,4,38,1
2008,4,6,7,29,4,57,2
2008,4,5,3,29,1,43,1
2008,4,2,19,29,4,38,2
2008,4,13,15,29,1,38,2
2008,4,27,10,29,4,43,1
2008,4,5,3,9,1,57,1
2008,4,3,2,29,5,33,1
2008,4,24,17,29,4,33,3
2008,4,25,3,21,1,28,1
2008,4,8,16,29,5,38,2
2008,4,23,17,29,6,43,2
2008,4,8,61,29,2,62,2
2008,4,3,6,16,3,48,1
2008,4,20,1,29,1,72,1
2008,4,21,4,29,4,28,3
2008,4,26,2,29,4,43,1
2008,4,8,10,29,5,38,1
2008,4,16,3,29,3,57,2
2008,4,20,41,29,4,38,1
2008,4,15,12,29,2,43,1
2008,4,14,15,29,1,57,4
2008,4,22,7,29,2,28,2
2008,4,3,12,16,3,38,3
2008,4,25,26,29,4,33,2
2008,4,26,1,29,1,28,1
2008,4,26,1,9,5,57,2
2008,4,4,2,29,3,43,1
2008,4,10,5,29,2,38,1
2008,4,8,52,29,1,57,1
2008,4,5,6,29,3,62,1
2008,4,8,7,29,2,43,1
2008,4,20,4,29,1,38,1
2008,4,25,2,29,1,28,1
2008,4,10,8,29,4,43,4
2008,4,4,20,29,4,38,1
2008,4,27,3,9,4,62,1
2008,4,6,9,19,5,33,3
2008,4,3,3,29,1,48,1
2008,4,6,1,29,2,43,1
2008,4,21,5,29,6,38,1
2008,4,12,18,9,5,26,3
2008,4,9,1,29,5,62,1
2008,4,4,25,29,1,33,4
2008,4,16,2,29,2,43,1
2008,4,2,1,29,2,38,1
2008,4,9,4,29,6,38,1
2008,4,16,9,29,4,67,1
2008,4,9,3,29,1,72,1
2008,4,26,1,29,2,43,1
2008,4,4,15,29,3,33,2
2008,4,15,2,29,1,57,2
2008,4,11,1,9,5,26,3
2008,4,17,4,9,4,38,1
2008,4,25,1,24,6,52,1
2008,4,12,14,9,6,50,2
2008,4,22,7,29,3,28,3
2008,4,4,1,9,1,57,1
2008,4,25,6,29,3,82,1
2008,4,2,3,29,5,33,1
2008,4,13,1,9,2,38,1
2008,4,9,6,29,3,82,1
2008,4,29,3,29,1,67,2
2008,4,29,12,29,4,28,1
2008,4,5,2,9,1,43,1
2008,4,2,4,29,1,72,1
2008,4,16,11,9,2,43,1
2008,4,8,16,29,3,28,1
2008,4,4,5,29,4,18,3
2008,4,21,5,29,1,33,5
2008,4,11,9,14,5,62,1
2008,4,23,2,29,5,62,2
2008,4,20,3,29,2,28,3
2008,4,27,3,29,3,62,1
2008,4,7,2,9,6,33,1
2008,4,16,4,9,3,62,1
2008,4,29,6,9,4,62,1
2008,4,9,3,29,4,38,1
2008,4,26,3,29,1,33,2
2008,4,1,10,29,5,43,2
2008,4,8,1,9,5,20,3
2008,4,26,2,29,3,57,2
2008,4,24,1,29,1,38,1
2008,4,14,4,29,5,62,2
2008,4,16,10,29,2,28,3
2008,4,5,1,29,3,28,4
2008,4,2,3,29,2,43,1
2008,4,26,13,27,6,28,1
2008,4,25,5,9,3,62,1
2008,4,25,15,29,6,33,4
2008,4,12,44,9,5,20,3
2008,4,8,4,9,4,38,1
2008,4,2,2,29,4,52,2
2008,4,5,1,29,1,62,2
2008,4,21,6,29,4,48,5
2008,4,16,5,9,3,82,1
2008,4,2,3,29,1,67,2
2008,4,9,3,29,2,52,1
2008,4,16,2,9,4,38,1
2008,4,26,2,29,3,38,2
2008,4,23,26,29,6,48,1
2008,4,13,5,29,1,43,3
2008,4,17,4,29,3,43,1
2008,4,7,1,9,1,72,1
2008,4,7,7,9,2,52,1
2008,4,26,1,9,1,28,1
2008,4,7,2,9,1,28,1
2008,4,10,1,29,4,38,2
2008,4,25,22,29,2,43,2
2008,4,13,4,9,1,43,1
2008,4,8,9,29,4,38,2
2008,4,5,5,9,5,60,1
2008,4,11,1,29,3,48,1
2008,4,8,1,9,2,43,1
2008,4,24,20,29,4,48,5
2008,4,2,7,29,6,33,1
2008,4,26,1,29,1,57,1
2008,4,23,8,29,2,23,1
2008,4,12,43,9,6,43,2
2008,4,25,1,29,1,38,1
2008,4,30,13,29,2,28,3
2008,4,15,5,29,1,72,1
2008,4,6,6,29,1,38,3
2008,4,26,3,29,2,33,2
2008,4,7,1,9,4,38,1
2008,4,29,8,29,4,52,2
2008,4,15,3,29,1,62,2
2008,4,15,9,29,1,72,1
2008,4,1,6,29,4,38,1
2008,4,9,2,9,3,62,1
2008,4,3,2,29,4,38,1
2008,4,3,1,29,3,43,1
2008,4,30,5,46,1,43,1
2008,4,17,1,29,5,38,1
2008,4,9,1,29,5,60,1
2008,4,15,3,42,6,38,2
2008,4,6,2,29,4,38,1
2008,4,20,7,29,3,43,2
2008,4,8,11,29,6,38,1
2008,4,2,4,9,1,43,1
2008,4,8,5,29,2,43,1
2008,4,5,8,29,6,33,1
2008,4,25,2,21,3,43,1
2008,4,30,1,29,6,48,2
2008,4,12,5,29,1,72,1
2008,4,30,2,29,6,33,4
2008,4,27,16,29,5,62,2
2008,4,24,7,29,1,62,2
2008,4,24,2,9,6,52,1
2008,4,23,31,29,6,43,2
2008,4,4,2,29,1,43,1
2008,4,8,2,29,2,43,1
2008,4,9,1,9,4,62,1
2008,4,13,7,29,3,55,3
2008,4,11,2,14,5,62,2
2008,4,16,6,29,3,43,1
2008,4,24,2,29,5,33,1
2008,4,25,3,9,1,72,1
2008,4,8,2,29,5,38,2
2008,4,30,2,29,6,48,2
2008,4,25,3,29,3,52,1
2008,4,23,35,29,6,43,2
2008,4,8,2,9,1,43,1
2008,4,4,2,29,3,55,2
2008,4,6,5,9,2,52,1
2008,4,3,2,29,1,28,1
2008,4,30,2,29,3,57,2
2008,4,19,8,29,5,23,1
2008,4,22,3,29,3,38,2
2008,4,25,3,9,5,62,2
2008,4,14,7,29,5,62,2
2008,4,12,32,9,1,38,2
2008,4,26,4,29,4,33,1
2008,4,16,3,29,1,38,2
2008,4,16,1,9,3,82,1
2008,4,2,27,29,2,52,1
2008,4,19,6,29,5,33,2
2008,4,6,7,29,2,43,3
2008,4,6,1,29,1,57,1
2008,4,8,2,29,2,48,1
2008,4,26,6,29,6,62,1
2008,4,1,3,29,2,57,2
2008,4,16,15,29,1,38,1
2008,4,25,35,29,4,28,3
2008,4,9,2,9,2,43,1
2008,4,8,6,29,2,48,1
2008,4,28,5,29,1,62,2
2008,4,2,7,29,1,38,1
2008,4,24,14,29,5,20,3
2008,4,8,2,29,1,43,1
2008,4,28,3,29,1,28,1
2008,4,22,3,29,5,62,1
2008,4,6,7,29,6,33,2
2008,4,12,30,9,4,67,1
2008,4,9,7,9,3,57,2
2008,4,15,3,29,1,33,5
2008,4,8,4,29,3,43,2
2008,4,12,12,9,1,48,2
2008,4,9,4,29,1,28,1
2008,4,8,59,29,5,20,3
2008,4,2,13,29,1,28,1
2008,4,19,9,29,6,43,2
2008,4,15,14,29,3,55,2
2008,4,26,4,29,3,48,1
2008,4,23,20,29,1,33,4
2008,4,29,8,29,5,26,3
2008,4,9,4,9,5,38,2
2008,4,15,1,29,5,26,3
2008,4,25,2,29,3,38,1
2008,4,4,10,29,5,48,2
2008,4,30,6,46,6,62,1
2008,4,27,2,42,2,43,1
2008,4,3,2,29,1,38,2
2008,4,26,2,27,5,62,2
2008,4,26,13,29,6,50,2
2008,4,14,6,29,3,28,2
2008,4,22,2,9,5,28,1
2008,4,15,5,29,2,43,1
2008,4,23,37,29,6,33,1
2008,4,9,1,9,1,28,1
2008,4,30,10,29,1,38,3
2008,4,4,14,29,6,48,1
2008,4,7,17,24,1,33,5
2008,4,15,11,29,1,43,1
2008,4,5,2,29,1,28,1
2008,4,16,17,29,2,43,3
2008,4,29,4,29,4,48,2
2008,4,12,1,9,1,33,2
2008,4,3,4,29,5,33,3
2008,4,26,11,29,2,67,2
2008,4,8,11,29,1,23,2
2008,4,26,4,9,2,43,1
2008,4,5,5,29,6,38,3
2008,4,16,7,9,4,38,1
2008,4,7,3,29,6,62,1
2008,4,23,1,29,1,62,2
2008,4,20,3,29,5,62,1
2008,4,13,5,29,6,38,1
2008,4,6,6,9,2,52,1
2008,4,29,3,29,5,38,1
2008,4,16,7,9,1,57,1
2008,4,29,8,29,5,38,1
2008,4,3,9,16,1,48,1
2008,4,8,15,29,6,38,1
2008,4,2,5,9,3,48,1
2008,4,13,3,29,4,28,3
2008,4,25,12,9,1,57,1
2008,4,16,3,9,6,52,1
2008,4,16,3,29,2,38,1
2008,4,26,10,9,1,38,3
2008,4,13,2,29,1,38,3
2008,4,15,5,29,3,48,1
2008,4,7,2,29,4,67,1
2008,4,25,12,29,5,38,1
2008,4,9,1,29,3,43,1
2008,4,22,2,29,4,67,1
2008,4,6,7,9,2,43,2
2008,4,2,25,29,2,43,2
2008,4,7,5,9,5,62,2
2008,4,13,4,29,2,28,3
2008,4,8,4,29,3,57,2
2008,4,8,27,29,5,38,2
2008,4,2,6,29,5,62,2
2008,4,4,13,29,3,48,1
2008,4,6,3,9,6,33,1
2008,4,26,7,29,6,48,2
2008,4,10,5,29,5,33,3
2008,4,14,6,29,5,38,2
2008,4,25,4,9,1,52,1
2008,4,21,1,9,6,43,2
2008,4,30,4,16,2,38,3
2008,4,9,4,29,5,38,1
2008,4,16,2,29,1,43,1
2008,4,12,18,9,3,33,2
2008,4,26,8,29,3,57,2
2008,4,4,12,29,5,33,1
2008,4,9,6,29,1,62,3
2008,4,11,5,29,2,28,3
2008,4,15,2,29,2,38,2
2008,4,3,18,29,1,38,1
2008,4,25,11,29,3,43,2
2008,4,13,5,9,1,23,1
2008,4,24,2,29,1,28,1
2008,4,3,3,9,6,62,1
2008,4,25,9,29,5,43,2
2008,4,15,4,29,1,57,1
2008,4,9,3,29,5,28,1
2008,4,3,2,16,1,43,1
2008,4,20,9,29,3,28,3
2008,4,9,9,9,1,62,2
2008,4,17,6,9,4,38,1
2008,4,26,2,29,4,62,1
2008,4,29,4,9,2,28,3
2008,4,3,14,16,1,57,1
2008,4,17,7,29,4,57,2
2008,4,13,1,29,1,38,3
2008,4,8,6,29,1,33,3
2008,4,21,2,29,5,33,1
2008,4,5,4,29,1,48,2
2008,4,25,2,24,1,57,1
2008,4,16,9,29,1,28,1
2008,4,26,1,29,5,38,1
2008,4,13,1,9,2,38,1
2008,4,19,3,29,1,67,2
2008,4,12,14,9,2,28,3
2008,4,16,14,29,2,52,1
2008,4,8,4,9,3,38,2
2008,4,15,1,29,2,43,1
2008,4,21,2,29,2,33,2
2008,4,8,8,9,3,62,1
2008,4,29,8,29,1,72,1
2008,4,25,14,29,6,38,4
2008,4,8,9,29,3,28,1
2008,4,22,1,29,3,28,5
2008,4,8,23,29,2,48,4
2008,4,28,4,29,6,38,1
2008,4,2,8,29,2,33,2
2008,4,3,15,29,2,33,2
2008,4,25,1,21,1,28,1
2008,4,29,5,29,3,57,2
2008,4,13,2,29,2,23,1
2008,4,26,2,9,6,62,1
2008,4,26,2,9,1,43,1
2008,4,14,4,29,2,52,1
2008,4,4,11,29,3,48,1
2008,4,13,6,9,2,48,1
2008,4,29,6,29,4,28,2
2008,4,13,8,29,4,67,1
2008,4,5,2,29,4,38,2
2008,4,25,22,9,2,48,1
2008,4,26,5,9,4,62,1
2008,4,7,2,24,1,52,1
2008,4,26,4,29,5,38,2
2008,4,18,11,29,3,33,2
2008,4,2,8,9,6,48,1
2008,4,8,4,29,1,72,1
2008,4,5,4,29,2,43,1
2008,4,8,66,29,5,57,2
2008,4,26,13,29,1,38,1
2008,4,16,1,9,6,48,1
2008,4,4,7,29,5,62,2
2008,4,26,5,29,2,52,1
2008,4,15,1,29,1,28,1
2008,4,12,4,9,5,33,1
2008,4,30,2,16,5,28,1
2008,4,4,5,29,5,48,1
2008,4,15,2,29,3,62,1
2008,4,16,4,29,1,62,2
2008,4,6,9,29,5,38,1
2008,4,8,1,29,4,38,1
2008,4,22,8,29,5,20,3
2008,4,1,4,29,6,38,1
2008,4,16,5,29,3,82,1
2008,4,30,7,29,5,28,1
2008,4,4,11,29,2,28,3
2008,4,13,4,29,1,38,2
2008,4,3,2,29,6,33,1
2008,4,28,1,24,4,67,1
2008,4,2,8,29,1,28,1
2008,4,20,32,29,4,28,3
2008,4,30,2,21,2,43,1
2008,4,27,1,9,5,33,1
2008,4,7,4,24,2,52,1
2008,4,4,21,29,4,28,3
2008,4,14,12,29,3,57,2
2008,4,8,11,9,2,43,1
2008,4,8,12,9,2,38,1
2008,4,25,10,29,5,43,2
2008,4,14,3,29,2,52,1
2008,4,9,7,29,4,38,1
2008,4,3,8,29,2,28,2
2008,4,6,2,19,1,48,1
2008,4,14,7,29,4,67,1
2008,4,12,25,9,2,28,3
2008,4,9,5,9,6,48,2
2008,4,29,5,9,5,57,2
2008,4,24,16,29,5,33,3
2008,4,15,1,29,2,57,2
2008,4,18,3,29,4,38,1
2008,4,7,10,9,6,48,2
2008,4,20,35,29,3,28,5
2008,4,5,10,9,2,48,1
2008,4,26,7,29,5,48,1
2008,4,8,2,29,5,38,2
2008,4,28,9,29,2,33,2
2008,4,28,8,29,2,43,1
2008,4,13,2,9,4,60,2
2008,4,25,9,9,6,33,1
2008,4,8,1,29,1,38,1
2008,4,30,2,29,4,67,1
2008,4,8,53,29,4,43,1
2008,4,26,4,29,3,82,1
2008,4,13,7,29,3,38,2
2008,4,5,2,28,2,48,1
2008,4,23,13,29,1,57,1
2008,4,2,6,29,5,38,1
2008,4,11,10,29,6,38,3
2008,4,15,7,42,2,52,1
2008,4,10,2,29,1,38,1
2008,4,12,5,29,2,52,1
2008,4,16,4,29,2,43,1
2008,4,22,2,9,2,43,1
2008,4,27,11,42,3,57,2
2008,4,24,6,29,6,33,2
2008,4,11,1,9,1,28,1
2008,4,4,23,29,5,33,3
2008,4,17,5,29,4,43,1
2008,4,3,7,29,6,33,4
2008,4,15,4,29,4,67,1
2008,4,25,13,9,6,52,1
2008,4,11,4,29,3,48,2
2008,4,9,1,29,1,43,1
2008,4,26,5,29,6,62,1
2008,4,2,10,29,5,62,1
2008,4,13,1,9,4,60,2
2008,4,23,6,29,6,33,2
2008,4,26,7,29,4,62,1
2008,4,3,3,29,1,43,1
2008,4,29,2,9,5,23,1
2008,4,6,5,29,4,38,2
2008,4,21,5,9,4,33,1
2008,4,28,9,29,2,38,1
2008,4,28,6,29,5,33,2
2008,4,9,3,9,4,38,1
2008,4,6,3,29,3,38,2
2008,4,6,5,9,1,23,1
2008,4,30,3,46,4,62,1
2008,4,12,15,9,5,33,2
2008,4,4,4,29,4,33,1
2008,4,25,2,29,3,48,1
2008,4,29,9,29,2,28,3
2008,4,19,7,29,5,57,2
2008,4,15,6,29,2,43,1
2008,4,26,5,27,3,48,1
2008,4,13,12,9,1,52,1
2008,4,13,9,29,5,38,1
2008,4,16,16,29,5,62,2
2008,4,16,3,29,4,33,1
2008,4,15,4,29,3,43,1
2008,4,9,5,29,1,62,2
2008,4,13,4,29,3,48,2
2008,4,8,54,29,2,48,1
2008,4,21,9,29,6,38,4
2008,4,6,3,9,4,38,1
2008,4,2,12,9,2,28,3
2008,4,2,1,29,5,62,1
2008,4,6,1,9,1,57,1
2008,4,14,8,29,5,38,2
2008,4,16,8,9,2,43,1
2008,4,11,2,29,2,28,3
2008,4,3,19,29,5,38,1
2008,4,23,7,29,1,57,4
2008,4,26,12,29,1,38,1
2008,4,7,1,9,4,38,1
2008,4,5,4,9,6,38,1
2008,4,23,30,29,6,48,2
2008,4,5,9,9,6,33,1
2008,4,14,13,29,2,28,3
2008,4,8,17,29,4,43,2
2008,4,3,2,29,4,38,1
2008,4,7,6,9,4,43,2
2008,4,28,3,29,1,33,5
2008,4,8,14,29,3,55,2
2008,4,20,12,29,5,33,3
2008,4,27,6,29,5,38,1
2008,4,25,14,29,6,33,1
2008,4,3,1,29,4,33,1
2008,4,4,12,29,5,26,3
2008,4,18,9,29,5,38,1
2008,4,7,7,29,3,28,1
2008,4,7,2,9,1,28,1
2008,4,11,7,29,6,48,2
2008,4,26,5,9,1,62,2
2008,4,29,11,29,6,50,2
2008,4,25,1,9,5,62,1
2008,4,1,6,29,1,57,4
2008,4,16,1,29,4,62,1
2008,4,13,20,29,3,28,5
2008,4,6,1,29,4,57,2
2008,4,7,9,24,2,28,3
2008,4,29,3,29,6,48,2
2008,4,15,15,29,2,28,3
2008,4,2,3,29,1,57,4
2008,4,28,5,29,4,67,1
2008,4,28,7,29,1,57,2
2008,4,8,3,29,1,43,1
2008,4,4,6,9,2,48,1
2008,4,11,1,14,6,48,1
2008,4,12,13,9,4,52,2
2008,4,19,5,29,2,33,2
2008,4,8,11,29,4,43,2
2008,4,7,8,9,1,57,1
2008,4,9,5,29,5,33,1
2008,4,29,4,29,2,38,2
2008,4,20,5,29,2,43,1
2008,4,4,3,9,2,62,2
2008,4,29,2,29,1,43,2
2008,4,26,7,29,4,52,2
2008,4,2,3,29,1,57,4
2008,4,26,4,29,5,33,1
2008,4,10,5,29,5,57,2
2008,4,9,13,9,6,43,2
2008,4,8,28,29,6,33,2
2008,4,7,9,9,4,43,1
2008,4,8,6,29,4,38,1
2008,4,20,29,29,5,48,1
2008,4,13,1,24,4,38,1
2008,4,4,22,29,4,33,3
2008,4,28,1,29,4,28,3
2008,4,5,3,28,1,48,1
2008,4,15,1,29,3,82,1
2008,4,9,15,9,5,26,3
2008,4,23,4,29,6,33,2
2008,4,18,6,29,1,48,1
2008,4,26,16,29,6,57,3
2008,4,12,3,29,6,62,1
2008,4,25,4,9,2,43,1
2008,4,21,10,29,6,38,4
2008,4,5,7,29,4,38,1
2008,4,13,2,9,1,57,1
2008,4,10,4,29,2,52,1
2008,4,28,7,29,6,33,1
2008,4,21,13,3,5,38,2
2008,4,29,7,29,3,82,1
2008,4,25,16,29,4,43,4
2008,4,11,6,29,4,48,2
2008,4,15,10,29,6,48,2
2008,4,13,7,29,6,38,4
2008,4,16,12,29,2,52,4
2008,4,18,18,29,2,43,3
2008,4,8,9,29,6,38,4
2008,4,2,1,29,6,33,1
2008,4,16,1,9,1,43,1
2008,4,26,16,9,1,72,1
2008,4,11,1,29,3,82,1
2008,4,7,6,24,4,52,2
2008,4,7,3,24,1,57,1
2008,4,25,5,29,2,43,1
2008,4,6,9,9,2,43,1
2008,4,4,4,29,6,38,3
2008,4,2,5,29,3,38,2
2008,4,27,3,42,1,62,2
2008,4,9,6,29,3,48,1
2008,4,24,6,29,6,48,2
2008,4,12,33,9,4,38,2
2008,4,15,11,29,1,43,1
2008,4,13,2,29,1,57,4
2008,4,7,1,29,1,33,4
2008,4,25,17,29,6,28,1
2008,4,8,67,29,4,57,2
2008,4,26,2,29,1,43,1
2008,4,13,4,29,3,43,2
2008,4,12,10,9,5,33,2
2008,4,17,3,15,4,43,1
2008,4,13,3,9,1,28,1
2008,4,8,2,29,1,62,2
2008,4,2,30,29,3,48,1
2008,4,2,2,9,2,48,1
2008,4,3,16,29,2,38,1
2008,4,13,19,29,3,28,5
2008,4,16,11,29,2,38,1
2008,4,16,8,29,3,48,2
2008,4,22,4,29,2,57,2
2008,4,5,12,9,1,62,2
2008,4,20,2,29,2,33,2
2008,4,8,44,29,1,38,1
2008,4,29,5,29,3,82,1
2008,4,8,40,29,5,57,2
2008,4,15,10,29,1,72,1
2008,4,16,5,9,6,33,1
2008,4,23,24,29,1,57,4
2008,4,3,11,16,1,43,3
2008,4,24,1,29,4,38,1
2008,4,22,2,29,4,57,2
2008,4,1,6,21,2,43,5
2008,4,19,3,29,6,62,1
2008,4,25,1,29,4,33,3
2008,4,30,11,29,3,38,2
2008,4,26,1,29,2,43,1
2008,4,25,12,29,2,43,2
2008,4,26,7,29,3,43,1
2008,4,2,14,9,4,48,3
2008,4,7,3,9,1,72,1
2008,4,5,12,29,5,23,1
2008,4,13,1,29,4,48,5
2008,4,29,6,29,2,43,1
2008,4,21,8,3,5,33,2
2008,4,12,3,9,5,38,2
2008,4,25,11,9,1,62,2
2008,4,25,29,29,5,43,2
2008,4,13,2,29,5,62,2
2008,4,30,2,29,2,28,3
2008,4,7,1,29,4,38,1
2008,4,16,3,9,2,28,3
2008,4,8,13,9,1,72,1
2008,4,26,8,27,3,48,1
2008,4,10,7,29,2,43,2
2008,4,1,2,29,6,33,1
2008,4,7,12,9,5,20,3
2008,4,26,12,29,6,48,2
2008,4,9,8,29,6,48,1
2008,4,25,1,29,4,62,1
2008,4,8,2,9,3,48,1
2008,4,5,3,9,2,43,1
2008,4,8,4,29,3,82,1
2008,4,7,14,9,2,43,1
2008,4,6,2,29,4,62,2
2008,4,3,8,29,4,43,4
2008,4,1,3,29,2,52,1
2008,4,28,4,29,3,38,2
2008,4,26,1,29,5,62,1
2008,4,2,11,29,3,62,1
2008,4,4,6,29,6,28,1
2008,4,8,4,29,2,57,2
2008,4,11,1,29,1,38,1
2008,4,4,13,29,5,20,3
2008,4,3,17,29,1,38,1
2008,4,9,10,29,1,57,1
2008,4,10,4,29,5,57,2
2008,4,21,1,29,1,43,3
2008,4,16,1,9,1,62,2
2008,4,16,5,29,4,33,1
2008,4,26,1,29,2,38,1
2008,4,14,9,29,1,48,1
2008,4,21,2,9,5,60,1
2008,4,22,8,29,4,28,3
2008,4,25,8,29,4,48,3
2008,4,13,3,29,6,33,2
2008,4,14,1,29,1,62,2
2008,4,19,3,29,3,57,2
2008,4,30,3,29,3,62,3
2008,4,28,3,29,5,62,2
2008,4,20,27,29,5,23,1
2008,4,9,8,9,1,62,2
2008,4,16,15,29,4,43,2
2008,4,29,2,9,1,28,1
2008,4,2,26,29,1,57,1
2008,4,5,8,9,5,33,1
2008,4,11,2,9,1,33,4
2008,4,18,15,29,4,38,2
2008,4,14,3,29,2,33,2
2008,4,4,19,29,3,82,1
2008,4,5,15,29,5,38,1
2008,4,24,3,9,1,43,1
2008,4,10,9,29,2,43,5
2008,4,2,1,29,2,48,1
2008,4,11,6,29,5,20,3
2008,4,7,15,9,3,48,1
2008,4,24,1,29,5,33,1
2008,4,22,5,9,2,52,1
2008,4,25,2,9,5,23,1
2008,4,22,6,29,4,28,3
2008,4,25,34,29,5,33,3
2008,4,6,4,9,2,62,2
2008,4,25,3,29,3,55,3
2008,4,8,3,29,5,38,2
2008,4,16,2,10,4,57,2
2008,4,13,6,29,2,52,1
2008,4,2,8,29,1,48,2
2008,4,3,6,29,4,38,1
2008,4,12,9,9,4,43,1
2008,4,4,5,9,3,57,2
2008,4,9,1,9,5,60,1
2008,4,26,7,9,3,55,2
2008,4,1,8,29,1,38,1
2008,4,12,28,9,5,62,1
2008,4,2,9,9,2,33,2
2008,4,28,1,16,2,38,2
2008,4,5,5,29,4,62,1
2008,4,9,14,9,6,43,2
2008,4,29,6,29,1,33,3
2008,4,2,21,29,5,38,2
2008,4,21,3,9,6,52,1
2008,4,6,4,9,1,62,2
2008,4,20,24,29,1,33,5
2008,4,4,1,29,2,48,1
2008,4,11,7,29,2,28,2
2008,4,26,3,9,1,72,1
2008,4,5,4,28,4,65,1
